CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
ABINGTON	233	1297.26	1733	9648.70	13.44%
ACTON	157	661.55	1830	7711.04	8.58%
ACUSHNET	88	841.83	997	9537.56	8.83%
ADAMS	35	422.67	530	6400.43	6.60%
AGAWAM	452	1580.18	2901	10141.82	15.58%
ALFORD	<5	NA	21	4502.12	NA
AMESBURY	178	1069.37	1606	9648.33	11.08%
AMHERST	94	232.11	1823	4501.47	5.16%
ANDOVER	305	846.87	3373	9365.52	9.04%
AQUINNAH	<5	NA	37	13955.43	NA
ARLINGTON	304	663.63	3733	8149.07	8.14%
ASHBURNHAM	32	509.56	493	7850.44	6.49%
ASHBY	15	433.84	229	6623.33	6.55%
ASHFIELD	<5	NA	79	4606.72	NA
ASHLAND	247	1267.12	1741	8931.51	14.19%
ATHOL	63	526.53	1243	10388.53	5.07%
ATTLEBORO	654	1413.51	4385	9477.43	14.91%
AUBURN	213	1291.50	1738	10538.17	12.26%
AVON	72	1643.58	502	11459.37	14.34%
AYER	136	1683.17	2075	25680.76	6.55%
BARNSTABLE	362	807.22	3910	8718.83	9.26%
BARRE	62	1115.56	451	8114.77	13.75%
BECKET	14	777.58	121	6720.55	11.57%
BEDFORD	271	1819.23	4575	30712.15	5.92%
BELCHERTOWN	102	640.59	1017	6387.09	10.03%
BELLINGHAM	125	699.25	1279	7154.70	9.77%
BELMONT	230	842.30	2049	7503.80	11.22%
BERKLEY	70	1032.42	635	9365.55	11.02%
BERLIN	20	626.32	256	8016.92	7.81%
BERNARDSTON	6	286.94	164	7843.16	3.66%
BEVERLY	609	1479.35	4007	9733.61	15.20%
BILLERICA	539	1236.72	4205	9648.24	12.82%
BLACKSTONE	47	519.66	712	7872.29	6.60%
BLANDFORD	<5	NA	56	4610.10	NA
BOLTON	11	217.71	340	6729.23	3.24%
BOSTON	13897	1999.66	82575	11881.83	16.83%
BOURNE	154	736.14	1821	8704.59	8.46%
BOXBOROUGH	25	489.47	372	7283.28	6.72%
BOXFORD	41	531.28	555	7191.72	7.39%
BOYLSTON	20	445.55	364	8108.95	5.49%
BRAINTREE	812	2063.02	4578	11631.18	17.74%
BREWSTER	103	1039.11	855	8625.61	12.05%
BRIDGEWATER	359	1262.00	3845	13516.37	9.34%
BRIMFIELD	6	161.06	208	5583.27	2.88%
BROCKTON	4197	4271.83	16772	17071.04	25.02%
BROOKFIELD	19	518.88	214	5844.26	8.88%
BROOKLINE	386	599.52	4453	6916.27	8.67%
BUCKLAND	8	430.00	24	1290.00	33.33%
BURLINGTON	265	958.63	2497	9032.87	10.61%
CAMBRIDGE	986	874.22	17593	15598.58	5.60%
CANTON	285	1235.66	2792	12105.10	10.21%
CARLISLE	15	314.55	321	6731.32	4.67%
CARVER	58	476.34	943	7744.58	6.15%
CHARLEMONT	<5	NA	83	6967.46	NA
CHARLTON	75	532.97	1277	9074.68	5.87%
CHATHAM	18	307.37	556	9494.31	3.24%
CHELMSFORD	333	925.47	4178	11611.49	7.97%
CHELSEA	2907	7718.12	8102	21510.92	35.88%
CHESHIRE	<5	NA	208	6976.60	NA
CHESTER	<5	NA	80	5894.80	NA
CHESTERFIELD	<5	NA	67	5474.60	NA
CHICOPEE	433	759.45	4827	8466.19	8.97%
CHILMARK	<5	NA	191	24683.82	NA
CLARKSBURG	7	415.82	84	4989.89	8.33%
CLINTON	245	1740.65	1683	11957.17	14.56%
COHASSET	25	337.86	501	6770.70	4.99%
COLRAIN	<5	NA	93	5791.15	NA
CONCORD	173	923.90	2581	13783.74	6.70%
CONWAY	<5	NA	126	6499.18	NA
CUMMINGTON	<5	NA	63	7916.43	NA
DALTON	13	199.32	544	8340.82	2.39%
