CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
ABINGTON	230	1280.56	1433	7978.41	16.05%
ACTON	152	640.48	1344	5663.19	11.31%
ACUSHNET	86	822.70	756	7232.09	11.38%
ADAMS	35	422.67	398	4806.36	8.79%
AGAWAM	440	1538.23	2339	8177.08	18.81%
ALFORD	<5	NA	9	1929.48	NA
AMESBURY	170	1021.30	1279	7683.82	13.29%
AMHERST	93	229.64	1208	2982.87	7.70%
ANDOVER	299	830.21	2300	6386.21	13.00%
AQUINNAH	0	0	16	6034.78	0%
ARLINGTON	301	657.08	2539	5542.59	11.86%
ASHBURNHAM	30	477.71	361	5748.50	8.31%
ASHBY	15	433.84	170	4916.89	8.82%
ASHFIELD	<5	NA	50	2915.65	NA
ASHLAND	243	1246.62	1365	7002.59	17.80%
ATHOL	58	484.74	954	7973.18	6.08%
ATTLEBORO	625	1350.83	3666	7923.44	17.05%
AUBURN	205	1243.00	1377	8349.29	14.89%
AVON	68	1552.27	425	9701.66	16.00%
AYER	114	1410.89	1748	21633.72	6.52%
BARNSTABLE	349	778.23	2931	6535.78	11.91%
BARRE	56	1007.60	350	6297.49	16.00%
BECKET	12	666.50	87	4832.13	13.79%
BEDFORD	254	1705.11	2940	19736.33	8.64%
BELCHERTOWN	96	602.91	737	4628.60	13.03%
BELLINGHAM	123	688.06	1027	5745.02	11.98%
BELMONT	229	838.64	1474	5398.05	15.54%
BERKLEY	66	973.43	500	7374.45	13.20%
BERLIN	22	688.95	197	6169.27	11.17%
BERNARDSTON	6	286.94	107	5117.18	5.61%
BEVERLY	581	1411.34	3043	7391.91	19.09%
BILLERICA	515	1181.65	3383	7762.19	15.22%
BLACKSTONE	44	486.49	555	6136.41	7.93%
BLANDFORD	<5	NA	41	3375.25	NA
BOLTON	12	237.50	221	4374.00	5.43%
BOSTON	13417	1930.59	62982	9062.57	21.30%
BOURNE	151	721.80	1389	6639.58	10.87%
BOXBOROUGH	24	469.89	272	5325.41	8.82%
BOXFORD	39	505.36	408	5286.88	9.56%
BOYLSTON	19	423.27	291	6482.70	6.53%
BRAINTREE	793	2014.75	3578	9090.51	22.16%
BREWSTER	98	988.67	600	6053.06	16.33%
BRIDGEWATER	345	1212.78	3332	11713.02	10.35%
BRIMFIELD	6	161.06	147	3945.87	4.08%
BROCKTON	4064	4136.46	14563	14822.66	27.91%
BROOKFIELD	20	546.19	159	4342.23	12.58%
BROOKLINE	365	566.91	2808	4361.30	13.00%
BUCKLAND	8	430.00	19	1021.25	42.11%
BURLINGTON	258	933.31	1800	6511.48	14.33%
CAMBRIDGE	948	840.53	11894	10545.65	7.97%
CANTON	282	1222.65	2250	9755.18	12.53%
CARLISLE	15	314.55	202	4235.91	7.43%
CARVER	57	468.12	727	5970.63	7.84%
CHARLEMONT	<5	NA	55	4616.99	NA
CHARLTON	67	476.12	1038	7376.29	6.45%
CHATHAM	13	221.99	376	6420.61	3.46%
CHELMSFORD	320	889.34	3309	9196.37	9.67%
CHELSEA	2779	7378.28	7094	18834.67	39.17%
CHESHIRE	<5	NA	150	5031.20	NA
CHESTER	<5	NA	56	4126.36	NA
CHESTERFIELD	<5	NA	48	3922.10	NA
CHICOPEE	407	713.85	3421	6000.17	11.90%
CHILMARK	<5	NA	43	5557.09	NA
CLARKSBURG	7	415.82	60	3564.21	11.67%
CLINTON	227	1612.76	1281	9101.09	17.72%
COHASSET	24	324.35	383	5176.01	6.27%
COLRAIN	<5	NA	63	3923.04	NA
CONCORD	170	907.88	2014	10755.70	8.44%
CONWAY	<5	NA	86	4435.95	NA
CUMMINGTON	<5	NA	47	5905.91	NA
DALTON	9	137.99	407	6240.28	2.21%
DANVERS	706	2472.35	3581	12540.35	19.72%
DARTMOUTH	365	991.32	3200	8691.07	11.41%
DEDHAM	371	1367.75	2332	8597.29	15.91%
DEERFIELD	8	150.02	222	4163.11	3.60%
DENNIS	94	710.85	870	6579.14	10.80%
DIGHTON	57	726.51	558	7112.11	10.22%
DOUGLAS	44	468.10	439	4670.38	10.02%
DOVER	18	345.41	222	4260.06	8.11%
DRACUT	447	1383.67	3373	10441.01	13.25%
DUDLEY	76	613.70	601	4853.09	12.65%
DUNSTABLE	10	300.12	161	4831.86	6.21%
DUXBURY	102	674.01	1243	8213.66	8.21%
EAST BRIDGEWATER	174	1179.15	1162	7874.56	14.97%
EAST BROOKFIELD	10	446.14	85	3792.19	11.76%
EAST LONGMEADOW	267	1578.53	1327	7845.33	20.12%
EASTHAM	10	215.22	204	4390.51	4.90%
EASTHAMPTON	79	487.25	884	5452.24	8.94%
EASTON	259	1092.91	1885	7954.17	13.74%
EDGARTOWN	7	170.66	237	5778.19	2.95%
EGREMONT	5	456.27	41	3741.43	12.20%
ERVING	6	286.53	96	4584.45	6.25%
ESSEX	23	618.17	196	5267.84	11.73%
EVERETT	1647	3393.33	5575	11486.23	29.54%
FAIRHAVEN	227	1416.05	1796	11203.61	12.64%
FALL RIVER	1363	1523.80	9878	11043.39	13.80%
FALMOUTH	185	591.97	2258	7225.27	8.19%
FITCHBURG	758	1798.22	4610	10936.43	16.44%
FLORIDA	<5	NA	31	3949.16	NA
FOXBOROUGH	110	607.30	1149	6343.57	9.57%
FRAMINGHAM	1681	2257.40	7577	10175.08	22.19%
FRANKLIN	124	366.73	1752	5181.57	7.08%
FREETOWN	89	983.61	637	7040.01	13.97%
GARDNER	190	950.48	2892	14467.31	6.57%
GEORGETOWN	54	604.44	484	5417.60	11.16%
GILL	<5	NA	49	2941.25	NA
GLOUCESTER	251	876.86	1659	5795.64	15.13%
GOSHEN	<5	NA	22	1917.53	NA
GOSNOLD	0	0	0	0	0%
GRAFTON	94	471.31	1089	5460.20	8.63%
GRANBY	28	455.91	255	4152.07	10.98%
GRANVILLE	10	642.55	77	4947.61	12.99%
GREAT BARRINGTON	72	1059.49	741	10903.88	9.72%
GREENFIELD	193	1111.47	1266	7290.77	15.24%
GROTON	40	343.48	644	5530.06	6.21%
GROVELAND	30	439.00	399	5838.74	7.52%
HADLEY	42	730.39	464	8069.08	9.05%
HALIFAX	55	719.76	533	6975.16	10.32%
HAMILTON	31	414.77	286	3826.59	10.84%
HAMPDEN	83	1679.90	357	7225.58	23.25%
HANCOCK	<5	NA	11	1692.56	NA
HANOVER	67	467.72	822	5738.29	8.15%
HANSON	98	915.31	741	6920.88	13.23%
HARDWICK	9	271.78	138	4167.32	6.52%
HARVARD	17	245.40	223	3219.13	7.62%
HARWICH	121	963.14	857	6821.58	14.12%
HATFIELD	16	492.74	168	5173.79	9.52%
HAVERHILL	1135	1723.73	6893	10468.44	16.47%
HAWLEY	0	0	5	1706.94	0%
HEATH	0	0	18	2983.34	0%
HINGHAM	257	1080.39	1838	7726.69	13.98%
HINSDALE	<5	NA	113	5313.47	NA
HOLBROOK	187	1655.59	1009	8933.12	18.53%
HOLDEN	102	540.80	1508	7995.38	6.76%
HOLLAND	8	312.46	75	2929.33	10.67%
HOLLISTON	56	406.25	769	5578.75	7.28%
HOLYOKE	842	2043.47	3450	8372.89	24.41%
HOPEDALE	39	686.74	389	6849.77	10.03%
HOPKINTON	119	729.42	1072	6570.87	11.10%
HUBBARDSTON	5	107.28	236	5063.60	2.12%
HUDSON	179	854.56	1350	6444.99	13.26%
HULL	48	486.00	599	6064.91	8.01%
