CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
ABINGTON	232	1291.69	1524	8485.07	15.22%
ACTON	154	648.91	1470	6194.11	10.48%
ACUSHNET	87	832.26	830	7940.00	10.48%
ADAMS	35	422.67	437	5277.33	8.01%
AGAWAM	449	1569.69	2492	8711.96	18.02%
ALFORD	<5	NA	13	2787.03	NA
AMESBURY	173	1039.33	1365	8200.48	12.67%
AMHERST	91	224.70	1335	3296.47	6.82%
ANDOVER	301	835.76	2599	7216.42	11.58%
AQUINNAH	0	0	20	7543.47	0%
ARLINGTON	305	665.81	2885	6297.90	10.57%
ASHBURNHAM	30	477.71	407	6480.99	7.37%
ASHBY	15	433.84	186	5379.65	8.06%
ASHFIELD	<5	NA	60	3498.78	NA
ASHLAND	246	1262.01	1457	7474.56	16.88%
ATHOL	62	518.17	1033	8633.43	6.00%
ATTLEBORO	646	1396.22	3903	8435.67	16.55%
AUBURN	209	1267.25	1476	8949.57	14.16%
AVON	70	1597.92	449	10249.52	15.59%
AYER	121	1497.53	1944	24059.47	6.22%
BARNSTABLE	359	800.53	3319	7400.97	10.82%
BARRE	58	1043.58	387	6963.23	14.99%
BECKET	14	777.58	96	5332.01	14.58%
BEDFORD	247	1658.12	3244	21777.09	7.61%
BELCHERTOWN	100	628.03	830	5212.67	12.05%
BELLINGHAM	124	693.65	1111	6214.91	11.16%
BELMONT	229	838.64	1623	5943.71	14.11%
BERKLEY	68	1002.93	549	8097.15	12.39%
BERLIN	20	626.32	212	6639.01	9.43%
BERNARDSTON	6	286.94	120	5738.90	5.00%
BEVERLY	598	1452.63	3339	8110.94	17.91%
BILLERICA	526	1206.89	3691	8468.89	14.25%
BLACKSTONE	45	497.55	615	6799.80	7.32%
BLANDFORD	<5	NA	44	3622.22	NA
BOLTON	11	217.71	252	4987.55	4.37%
BOSTON	13609	1958.22	68509	9857.86	19.86%
BOURNE	152	726.58	1525	7289.68	9.97%
BOXBOROUGH	24	469.89	302	5912.77	7.95%
BOXFORD	39	505.36	449	5818.16	8.69%
BOYLSTON	21	467.82	318	7084.19	6.60%
BRAINTREE	804	2042.70	3852	9786.65	20.87%
BREWSTER	100	1008.84	675	6809.70	14.81%
BRIDGEWATER	352	1237.39	3504	12317.65	10.05%
BRIMFIELD	6	161.06	165	4429.03	3.64%
BROCKTON	4136	4209.74	15396	15670.51	26.86%
BROOKFIELD	19	518.88	183	4997.66	10.38%
BROOKLINE	373	579.33	3131	4862.98	11.91%
BUCKLAND	8	430.00	20	1075.00	40.00%
BURLINGTON	263	951.40	1938	7010.69	13.57%
CAMBRIDGE	962	852.94	13581	12041.40	7.08%
CANTON	284	1231.32	2384	10336.16	11.91%
CARLISLE	15	314.55	229	4802.09	6.55%
CARVER	57	468.12	801	6578.37	7.12%
CHARLEMONT	<5	NA	57	4784.88	NA
CHARLTON	70	497.44	1115	7923.47	6.28%
CHATHAM	14	239.07	418	7137.81	3.35%
CHELMSFORD	324	900.46	3563	9902.28	9.09%
CHELSEA	2839	7537.58	7444	19763.92	38.14%
CHESHIRE	<5	NA	171	5735.57	NA
CHESTER	<5	NA	61	4494.78	NA
CHESTERFIELD	<5	NA	56	4575.78	NA
CHICOPEE	415	727.88	3969	6961.33	10.46%
CHILMARK	<5	NA	67	8658.72	NA
CLARKSBURG	7	415.82	66	3920.63	10.61%
CLINTON	238	1690.91	1452	10315.99	16.39%
COHASSET	24	324.35	414	5594.95	5.80%
COLRAIN	<5	NA	69	4296.66	NA
CONCORD	170	907.88	2156	11514.04	7.88%
CONWAY	<5	NA	96	4951.75	NA
CUMMINGTON	<5	NA	50	6282.88	NA
DALTON	9	137.99	450	6899.58	2.00%
DANVERS	717	2510.87	3794	13286.26	18.90%
DARTMOUTH	373	1013.05	3475	9437.96	10.73%
DEDHAM	394	1452.54	2493	9190.84	15.80%
DEERFIELD	9	168.77	250	4688.19	3.60%
DENNIS	93	703.29	968	7320.24	9.61%
DIGHTON	63	802.98	621	7915.09	10.14%
DOUGLAS	45	478.74	503	5351.26	8.95%
DOVER	18	345.41	250	4797.37	7.20%
DRACUT	455	1408.44	3603	11152.97	12.63%
DUDLEY	84	678.30	662	5345.67	12.69%
DUNSTABLE	10	300.12	180	5402.08	5.56%
DUXBURY	106	700.44	1354	8947.14	7.83%
EAST BRIDGEWATER	176	1192.70	1250	8470.91	14.08%
EAST BROOKFIELD	14	624.60	100	4461.40	14.00%
EAST LONGMEADOW	270	1596.26	1432	8466.10	18.85%
EASTHAM	10	215.22	230	4950.08	4.35%
EASTHAMPTON	80	493.41	982	6056.67	8.15%
EASTON	263	1109.79	2022	8532.27	13.01%
EDGARTOWN	7	170.66	359	8752.62	1.95%
EGREMONT	5	456.27	50	4562.72	10.00%
ERVING	6	286.53	105	5014.25	5.71%
ESSEX	23	618.17	216	5805.38	10.65%
EVERETT	1692	3486.04	5997	12355.68	28.21%
FAIRHAVEN	236	1472.19	1912	11927.23	12.34%
FALL RIVER	1472	1645.66	10870	12152.43	13.54%
FALMOUTH	186	595.17	2556	8178.82	7.28%
FITCHBURG	775	1838.55	4988	11833.17	15.54%
FLORIDA	<5	NA	31	3949.16	NA
FOXBOROUGH	112	618.35	1282	7077.86	8.74%
FRAMINGHAM	1700	2282.91	8004	10748.49	21.24%
FRANKLIN	128	378.56	1940	5737.58	6.60%
FREETOWN	89	983.61	701	7747.33	12.70%
GARDNER	189	945.48	3125	15632.90	6.05%
GEORGETOWN	55	615.64	515	5764.59	10.68%
GILL	<5	NA	58	3481.48	NA
