CITY.TOWN	CASE	RATE
ABINGTON	177	985.47
ACTON	95	400.30
ACUSHNET	47	449.61
ADAMS	32	386.44
AGAWAM	333	1164.16
ALFORD	0	0
AMESBURY	156	937.20
AMHERST	60	148.16
ANDOVER	210	583.09
AQUINNAH	0	0
ARLINGTON	248	541.38
ASHBURNHAM	17	270.70
ASHBY	8	231.38
ASHFIELD	<5	NA
ASHLAND	145	743.86
ATHOL	41	342.66
ATTLEBORO	480	1037.44
AUBURN	152	921.64
AVON	56	1278.34
AYER	45	556.93
BARNSTABLE	238	530.71
BARRE	42	755.70
BECKET	11	610.96
BEDFORD	190	1275.48
BELCHERTOWN	69	433.34
BELLINGHAM	96	537.02
BELMONT	182	666.52
BERKLEY	41	604.70
BERLIN	14	438.43
BERNARDSTON	6	286.94
BEVERLY	440	1068.83
BILLERICA	401	920.08
BLACKSTONE	29	320.64
BLANDFORD	0	0
BOLTON	10	197.92
BOSTON	10729	1543.81
BOURNE	124	592.73
BOXBOROUGH	19	372.00
BOXFORD	30	388.74
BOYLSTON	13	289.61
BRAINTREE	668	1697.17
BREWSTER	91	918.05
BRIDGEWATER	287	1008.89
BRIMFIELD	<5	NA
BROCKTON	3179	3235.68
BROOKFIELD	8	218.48
BROOKLINE	308	478.38
BUCKLAND	7	376.25
BURLINGTON	201	727.12
CAMBRIDGE	826	732.36
CANTON	239	1036.22
CARLISLE	9	188.73
CARVER	38	312.08
CHARLEMONT	0	0
CHARLTON	45	319.78
CHATHAM	10	170.76
CHELMSFORD	283	786.51
CHELSEA	2244	5957.85
CHESHIRE	<5	NA
CHESTER	5	368.42
CHESTERFIELD	<5	NA
CHICOPEE	288	505.13
CHILMARK	<5	NA
CLARKSBURG	7	415.82
CLINTON	135	959.13
COHASSET	20	270.29
COLRAIN	<5	NA
CONCORD	133	710.28
CONWAY	<5	NA
CUMMINGTON	<5	NA
DALTON	7	107.33
DANVERS	539	1887.53
DARTMOUTH	205	556.77
DEDHAM	290	1069.13
DEERFIELD	6	112.52
DENNIS	54	408.36
DIGHTON	44	560.81
DOUGLAS	29	308.52
DOVER	14	268.65
DRACUT	349	1080.32
DUDLEY	57	460.28
DUNSTABLE	7	210.08
DUXBURY	53	350.22
EAST BRIDGEWATER	148	1002.96
EAST BROOKFIELD	6	267.68
EAST LONGMEADOW	200	1182.42
EASTHAM	10	215.22
EASTHAMPTON	55	339.22
EASTON	213	898.80
EDGARTOWN	6	146.28
EGREMONT	5	456.27
ERVING	5	238.77
ESSEX	17	456.90
EVERETT	1212	2497.10
FAIRHAVEN	136	848.38
FALL RIVER	652	728.92
FALMOUTH	136	435.18
FITCHBURG	320	759.15
FLORIDA	<5	NA
FOXBOROUGH	89	491.36
FRAMINGHAM	1159	1556.41
FRANKLIN	98	289.84
FREETOWN	68	751.52
GARDNER	116	580.29
GEORGETOWN	35	391.77
GILL	<5	NA
GLOUCESTER	188	656.77
GOSHEN	<5	NA
GOSNOLD	0	0
GRAFTON	63	315.88
GRANBY	18	293.09
