CITY.TOWN	CASE	RATE
ABINGTON	219	1219.31
ACTON	138	581.49
ACUSHNET	73	698.34
ADAMS	35	422.67
AGAWAM	423	1478.80
ALFORD	0	0
AMESBURY	154	925.18
AMHERST	85	209.89
ANDOVER	263	730.25
AQUINNAH	0	0
ARLINGTON	279	609.05
ASHBURNHAM	26	414.02
ASHBY	14	404.92
ASHFIELD	<5	NA
ASHLAND	214	1097.84
ATHOL	46	384.45
ATTLEBORO	577	1247.09
AUBURN	184	1115.66
AVON	67	1529.44
AYER	65	804.46
BARNSTABLE	293	653.35
BARRE	47	845.66
BECKET	12	666.50
BEDFORD	232	1557.42
BELCHERTOWN	88	552.67
BELLINGHAM	112	626.53
BELMONT	210	769.06
BERKLEY	52	766.94
BERLIN	20	626.32
BERNARDSTON	6	286.94
BEVERLY	542	1316.60
BILLERICA	486	1115.11
BLACKSTONE	40	442.26
BLANDFORD	<5	NA
BOLTON	12	237.50
BOSTON	12629	1817.20
BOURNE	144	688.34
BOXBOROUGH	23	450.31
BOXFORD	35	453.53
BOYLSTON	18	400.99
BRAINTREE	754	1915.66
BREWSTER	92	928.14
BRIDGEWATER	328	1153.02
BRIMFIELD	<5	NA
BROCKTON	3773	3840.27
BROOKFIELD	15	409.64
BROOKLINE	343	532.74
BUCKLAND	8	430.00
BURLINGTON	231	835.64
CAMBRIDGE	889	788.22
CANTON	266	1153.28
CARLISLE	12	251.64
CARVER	49	402.42
CHARLEMONT	<5	NA
CHARLTON	60	426.37
CHATHAM	12	204.91
CHELMSFORD	302	839.32
CHELSEA	2598	6897.72
CHESHIRE	<5	NA
CHESTER	<5	NA
CHESTERFIELD	<5	NA
CHICOPEE	373	654.21
CHILMARK	<5	NA
CLARKSBURG	7	415.82
CLINTON	174	1236.21
COHASSET	21	283.80
COLRAIN	<5	NA
CONCORD	160	854.47
CONWAY	<5	NA
CUMMINGTON	<5	NA
DALTON	9	137.99
DANVERS	643	2251.73
DARTMOUTH	284	771.33
DEDHAM	340	1253.46
DEERFIELD	8	150.02
DENNIS	83	627.67
DIGHTON	54	688.27
DOUGLAS	39	414.91
DOVER	17	326.22
DRACUT	422	1306.29
DUDLEY	72	581.40
DUNSTABLE	9	270.10
DUXBURY	60	396.48
EAST BRIDGEWATER	172	1165.60
EAST BROOKFIELD	9	401.53
EAST LONGMEADOW	238	1407.08
EASTHAM	10	215.22
EASTHAMPTON	70	431.74
EASTON	248	1046.49
EDGARTOWN	7	170.66
EGREMONT	5	456.27
ERVING	6	286.53
ESSEX	21	564.41
EVERETT	1474	3036.90
FAIRHAVEN	183	1141.57
FALL RIVER	1051	1175.00
FALMOUTH	170	543.97
FITCHBURG	631	1496.94
FLORIDA	<5	NA
FOXBOROUGH	100	552.10
FRAMINGHAM	1493	2004.93
FRANKLIN	111	328.28
FREETOWN	80	884.15
GARDNER	156	780.39
GEORGETOWN	45	503.70
GILL	<5	NA
GLOUCESTER	233	813.98
GOSHEN	<5	NA
GOSNOLD	0	0
GRAFTON	81	406.13
GRANBY	26	423.35
GRANVILLE	9	578.29
GREAT BARRINGTON	52	765.18
GREENFIELD	189	1088.43
GROTON	38	326.31
GROVELAND	28	409.74
HADLEY	40	695.61
HALIFAX	48	628.16
HAMILTON	28	374.63
HAMPDEN	45	910.79
HANCOCK	<5	NA
HANOVER	60	418.85
HANSON	88	821.91
HARDWICK	7	211.39
HARVARD	16	230.97
HARWICH	111	883.54
HATFIELD	10	307.96
HAVERHILL	1066	1618.94
HAWLEY	0	0
HEATH	0	0
HINGHAM	237	996.31
HINSDALE	<5	NA
HOLBROOK	176	1558.21
HOLDEN	85	450.67
HOLLAND	8	312.46
HOLLISTON	53	384.49
HOLYOKE	764	1854.17
HOPEDALE	34	598.69
HOPKINTON	110	674.25
HUBBARDSTON	5	107.28
HUDSON	163	778.17
HULL	47	475.88
HUNTINGTON	13	587.87
IPSWICH	62	461.07
KINGSTON	116	855.24
LAKEVILLE	54	478.27
LANCASTER	75	875.37
LANESBOROUGH	7	229.80
LAWRENCE	2681	3040.51
LEE	16	272.12
LEICESTER	128	1136.38
LENOX	13	266.47
LEOMINSTER	516	1271.18
LEVERETT	<5	NA
LEXINGTON	302	887.06
LEYDEN	0	0
LINCOLN	32	369.82
LITTLETON	94	967.26
LONGMEADOW	202	1302.41
LOWELL	2457	2102.54
LUDLOW	110	527.22
LUNENBURG	58	557.32
LYNN	3117	3089.10
LYNNFIELD	87	746.84
MALDEN	1053	1554.16
MANCHESTER	16	323.47
MANSFIELD	147	621.93
MARBLEHEAD	211	1097.95
MARION	11	237.04
MARLBOROUGH	829	1908.42
MARSHFIELD	152	587.79
MASHPEE	50	325.14
MATTAPOISETT	28	484.31
MAYNARD	63	603.76
MEDFIELD	33	289.46
MEDFORD	922	1516.09
MEDWAY	103	787.47
MELROSE	216	746.83
MENDON	23	397.02
MERRIMAC	26	406.89
METHUEN	827	1544.32
MIDDLEBOROUGH	243	902.61
MIDDLEFIELD	0	0
MIDDLETON	144	1395.44
MILFORD	575	1962.24
MILLBURY	184	1347.29
MILLIS	45	569.93
MILLVILLE	13	366.12
MILTON	286	998.96
MONROE	0	0
MONSON	30	355.65
MONTAGUE	25	292.45
MONTEREY	0	0
MONTGOMERY	<5	NA
MOUNT WASHINGTON	0	0
NAHANT	37	1130.83
NANTUCKET	12	105.82
NATICK	381	1060.61
NEEDHAM	303	1033.70
NEW ASHFORD	0	0
NEW BEDFORD	1583	1590.07
NEW BRAINTREE	<5	NA
NEW MARLBOROUGH	6	392.17
NEW SALEM	0	0
